Date,KIM,KLAC,AIG,MS,HON,SYY,INTU,BIO,LRCX,NEM,LUV,BA,PPG,LHX,WM,CAG,MTD,MAA,CPB,MTB,DLTR,WBA,UNH,IRM,RJF,VRSN,ILMN,ADM,POOL,WEC,NVDA,GWW,BLK,ZBH,LUMN,VNO,MSFT,HIG,FDX,LOW,MAR,MCK,WST,DHI,AVB,WHR,HES,EMN,MET,MDLZ
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935592045901545,0.0,0.0,0.10423442455841334,0.0,0.0,0.0,0.0562851999323255,0.0,0.07598762490092263,0.0,0.0,0.0,0.03381279983592649,0.0,0.03530632874496074,0.35897661993246965,0.0,0.0,0.005774399561091708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14859744314129686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935592045901545,0.0,0.0,0.10423442455841334,0.0,0.0,0.0,0.0562851999323255,0.0,0.07598762490092263,0.0,0.0,0.0,0.03381279983592649,0.0,0.03530632874496074,0.35897661993246965,0.0,0.0,0.005774399561091708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14859744314129686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935592045901545,0.0,0.0,0.10423442455841334,0.0,0.0,0.0,0.0562851999323255,0.0,0.07598762490092263,0.0,0.0,0.0,0.03381279983592649,0.0,0.03530632874496074,0.35897661993246965,0.0,0.0,0.005774399561091708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14859744314129686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935592045901545,0.0,0.0,0.10423442455841334,0.0,0.0,0.0,0.0562851999323255,0.0,0.07598762490092263,0.0,0.0,0.0,0.03381279983592649,0.0,0.03530632874496074,0.35897661993246965,0.0,0.0,0.005774399561091708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14859744314129686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935592045901545,0.0,0.0,0.10423442455841334,0.0,0.0,0.0,0.0562851999323255,0.0,0.07598762490092263,0.0,0.0,0.0,0.03381279983592649,0.0,0.03530632874496074,0.35897661993246965,0.0,0.0,0.005774399561091708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14859744314129686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935592045901545,0.0,0.0,0.10423442455841334,0.0,0.0,0.0,0.0562851999323255,0.0,0.07598762490092263,0.0,0.0,0.0,0.03381279983592649,0.0,0.03530632874496074,0.35897661993246965,0.0,0.0,0.005774399561091708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14859744314129686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935592045901545,0.0,0.0,0.10423442455841334,0.0,0.0,0.0,0.0562851999323255,0.0,0.07598762490092263,0.0,0.0,0.0,0.03381279983592649,0.0,0.03530632874496074,0.35897661993246965,0.0,0.0,0.005774399561091708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14859744314129686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935592045901545,0.0,0.0,0.10423442455841334,0.0,0.0,0.0,0.0562851999323255,0.0,0.07598762490092263,0.0,0.0,0.0,0.03381279983592649,0.0,0.03530632874496074,0.35897661993246965,0.0,0.0,0.005774399561091708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14859744314129686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935592045901545,0.0,0.0,0.10423442455841334,0.0,0.0,0.0,0.0562851999323255,0.0,0.07598762490092263,0.0,0.0,0.0,0.03381279983592649,0.0,0.03530632874496074,0.35897661993246965,0.0,0.0,0.005774399561091708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14859744314129686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935592045901545,0.0,0.0,0.10423442455841334,0.0,0.0,0.0,0.0562851999323255,0.0,0.07598762490092263,0.0,0.0,0.0,0.03381279983592649,0.0,0.03530632874496074,0.35897661993246965,0.0,0.0,0.005774399561091708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14859744314129686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
