date,ensemble,gspc
2019-05-03,1092722.9793221182,1113794.0393163261
2019-05-06,1088768.3269974417,1108814.279054525
2019-05-07,1068486.4928051657,1090505.9242198353
2019-05-08,1070208.6305233664,1088755.1984048225
2019-05-09,1068034.9461704916,1085465.6062920892
2019-05-10,1073296.0211979577,1089503.8610127717
2019-05-13,1046988.1945397088,1063213.5257762412
2019-05-14,1055233.0626331992,1071736.1864363751
2019-05-15,1062205.7378517813,1077994.027315569
2019-05-16,1071494.3897740073,1087583.0937028334
2019-05-17,1068689.51054923,1081234.5086382371
2019-05-20,1060565.105502767,1073936.8483242788
2019-05-21,1071062.985202474,1083060.8392221665
2019-05-22,1060964.278712911,1080001.8462703032
2019-05-23,1048809.7719494528,1067134.5423326702
2019-05-24,1061378.4372288412,1068578.9719043816
2019-05-28,1048931.3557964987,1059628.899669056
2019-05-29,1040286.9531456656,1052304.837689762
2019-05-30,1041470.1809727378,1054513.0692859087
2019-05-31,1033084.2406861016,1040598.3762052684
2019-06-03,1033049.2487713523,1037720.8716242102
2019-06-04,1057613.7203404135,1059961.6898912084
2019-06-05,1075626.366214437,1068612.9432779604
2019-06-06,1082609.550300283,1075169.510692213
2019-06-07,1091063.8675858206,1086456.3149367883
2019-06-10,1093604.2977101034,1091519.2496757489
2019-06-11,1084842.4208122916,1091137.3486635312
2019-06-12,1083024.069957418,1088914.069964413
2019-06-13,1087945.8129669852,1093375.7667791352
2019-06-14,1082820.6189324087,1091613.778715273
2019-06-17,1083084.1802536673,1092630.8890253077
2019-06-18,1096157.011336965,1103248.4202849718
2019-06-19,1102297.670354528,1106541.7972518266
2019-06-20,1114872.888322515,1117023.1660766294
2019-06-21,1105158.864009542,1115616.5850461337
2019-06-24,1102469.404369039,1113684.4631738309
2019-06-25,1090189.072431249,1103108.472995989
2019-06-26,1086541.357909841,1101747.3102149519
2019-06-27,1090806.858079595,1105959.4835981962
2019-06-28,1100334.187686605,1112326.9929334002
2019-07-01,1099464.3800160117,1120861.1004694141
2019-07-02,1104305.9257370655,1124143.1228739042
2019-07-03,1113472.132009191,1132767.9745953204
2019-07-05,1114374.6230408377,1130722.3070993708
2019-07-08,1113417.083916206,1125254.7622234635
2019-07-09,1115863.7931573596,1126646.2038374727
2019-07-10,1117450.088629644,1131728.1551605563
2019-07-11,1121521.9876482836,1134314.4106012841
2019-07-12,1123053.963463679,1139555.141170443
2019-07-15,1118475.4519536672,1139755.5538118558
2019-07-16,1117770.9494305083,1135876.078337249
2019-07-17,1114584.6108426691,1128457.3950049158
2019-07-18,1118552.9820202498,1132499.5268932348
2019-07-19,1108455.328783958,1125504.3779684564
2019-07-22,1111567.0248926217,1128688.0864793009
2019-07-23,1118172.892230824,1136416.7585955423
2019-07-24,1124427.277063795,1141744.448495982
2019-07-25,1115345.5084308067,1135736.131048266
2019-07-26,1121678.7839746492,1144126.5987546907
2019-07-29,1118499.1338946417,1142277.5590460321
2019-07-30,1119489.1612372624,1139332.019404301
2019-07-31,1110979.8524569585,1126929.790956045
2019-08-01,1099109.4961154468,1116788.7820616378
2019-08-02,1102628.9138483703,1108655.4998084495
2019-08-05,1069846.403575176,1075642.155889833
2019-08-06,1084197.4037277172,1089643.8083017543
2019-08-07,1087213.3538547962,1090479.4302409843
2019-08-08,1107503.1015767134,1110939.3361735125
2019-08-09,1097924.3783881357,1103588.6879018522
2019-08-12,1086190.6595153732,1089995.4304809996
2019-08-13,1096197.7800375652,1106488.9016076399
2019-08-14,1068419.1361418655,1074076.7956132616
2019-08-15,1074889.4919090346,1076723.6087199345
2019-08-16,1086817.2141344887,1092256.5577213333
2019-08-19,1097585.2324845025,1105479.268692333
2019-08-20,1091468.230569658,1096729.7014119353
2019-08-21,1100632.5146978854,1105774.2103732696
2019-08-22,1099534.6453416003,1105214.6058443687
2019-08-23,1075874.1494147356,1076538.3354950082
2019-08-26,1085980.9660607355,1088361.9428302401
2019-08-27,1082278.5833640536,1084875.7229302155
2019-08-28,1092684.9541878118,1091976.7554568828
2019-08-29,1105643.5875199584,1105830.9831850932
2019-08-30,1108826.507034812,1106541.7972518266
2019-09-03,1106769.873519207,1098907.6541751095
2019-09-04,1116904.7119294032,1110822.0980092592
2019-09-05,1126314.7610710373,1125273.686494071
2019-09-06,1130206.810916317,1126298.366512349
2019-09-09,1125590.299984167,1126192.4829104606
2019-09-10,1122239.5383076554,1126555.4596520704
2019-09-11,1129219.5376422673,1134700.0964676233
2019-09-12,1129379.4873243752,1137967.0717691423
2019-09-13,1125343.442756971,1137142.7120787618
2019-09-16,1124509.616218794,1133577.1025556999
2019-09-17,1132420.0029433174,1136503.717926823
