account_rewards,date
14419.904775730101,2019-10-03
-3767.2711071204394,2019-10-04
-18070.687704689102,2019-10-07
12217.28728532046,2019-10-08
4929.232671760488,2019-10-09
12343.068565185415,2019-10-10
-3401.270494262688,2019-10-11
12675.450298309326,2019-10-14
-4767.677143096924,2019-10-15
10072.435832977295,2019-10-16
213.79346084594727,2019-10-17
9126.148349761963,2019-10-18
-9034.040985107422,2019-10-21
-2878.510181427002,2019-10-22
15627.580841064453,2019-10-23
897.5483360290527,2019-10-24
7547.3834228515625,2019-10-25
1446.6078987121582,2019-10-28
4240.9768409729,2019-10-29
-5602.630859375,2019-10-30
8916.316375732422,2019-10-31
-2667.02294921875,2019-11-01
2610.1734352111816,2019-11-04
6899.746887207031,2019-11-05
-5182.101463317871,2019-11-06
5059.22074508667,2019-11-07
-2844.088321685791,2019-11-08
1574.3299980163574,2019-11-11
6479.086357116699,2019-11-12
4553.416957855225,2019-11-13
15317.181983947754,2019-11-14
-5420.3554611206055,2019-11-15
-597.9271202087402,2019-11-18
-10390.762992858887,2019-11-19
-15163.90969467163,2019-11-20
1651.6160011291504,2019-11-21
10096.877250671387,2019-11-22
6769.844314575195,2019-11-25
5349.172988891602,2019-11-26
-8841.276817321777,2019-11-27
-11809.580520629883,2019-11-29
-7167.385883331299,2019-12-02
19292.556827545166,2019-12-03
1902.3503341674805,2019-12-04
8835.322360992432,2019-12-05
-4990.352916717529,2019-12-06
-4075.2802391052246,2019-12-09
6605.5446128845215,2019-12-10
8006.2927169799805,2019-12-11
-2830.6855392456055,2019-12-12
9203.057693481445,2019-12-13
-3830.3561515808105,2019-12-16
-2060.9500274658203,2019-12-17
4791.755588531494,2019-12-18
7849.977577209473,2019-12-19
-961.6521759033203,2019-12-20
1041.6002311706543,2019-12-23
1948.6337852478027,2019-12-24
-376.63283920288086,2019-12-26
-2708.761463165283,2019-12-27
5498.783546447754,2019-12-30
1902.059944152832,2019-12-31
