account_rewards,date
-4316.235837039771,2020-01-03
-3012.754542779876,2020-01-06
7427.352557605598,2020-01-07
806.6275426656939,2020-01-08
4766.1092647037,2020-01-09
4491.625041892985,2020-01-10
441.11267016874626,2020-01-13
1083.7215344603173,2020-01-14
11901.985256618354,2020-01-15
-246.9201205004938,2020-01-16
-1156.687237863429,2020-01-17
1680.8168357484974,2020-01-21
-497.3565776308533,2020-01-22
-10038.810700224014,2020-01-23
-14552.88493024814,2020-01-24
7253.489762819139,2020-01-27
881.5119181748014,2020-01-28
-2545.234544139821,2020-01-29
-24486.263394966023,2020-01-30
6181.046430019429,2020-01-31
30572.194395872997,2020-02-03
10645.966518352507,2020-02-04
9249.649275451666,2020-02-05
-13554.23641678039,2020-02-06
10307.301556176972,2020-02-07
8585.132663964294,2020-02-10
6207.360812322702,2020-02-11
815.6514391766395,2020-02-12
7761.815688324859,2020-02-13
-6045.320464037824,2020-02-14
8008.4876195525285,2020-02-18
-5954.037521465216,2020-02-19
-12639.253863168648,2020-02-20
-39522.063107846305,2020-02-21
-42228.774171394296,2020-02-24
-9749.829359304626,2020-02-25
-50449.81602361286,2020-02-26
-12033.51014194102,2020-02-27
37888.49930945202,2020-02-28
-24425.33686898416,2020-03-02
44310.27317710873,2020-03-03
-46915.308758657426,2020-03-04
-21195.783976362087,2020-03-05
-85905.65844337177,2020-03-06
-1015.4576803963864,2020-03-09
-5726.509718559217,2020-03-10
-93.01080717449076,2020-03-11
0.0,2020-03-12
0.0,2020-03-13
0.0,2020-03-16
0.0,2020-03-17
0.0,2020-03-18
0.0,2020-03-19
0.0,2020-03-20
0.0,2020-03-23
0.0,2020-03-24
0.0,2020-03-25
0.0,2020-03-26
0.0,2020-03-27
-5199.151394711225,2020-03-30
-21633.00717738911,2020-03-31
9594.06143346813,2020-04-01
