date,ADM,AIG,AVB,BA,BIO,BLK,CAG,CPB,DHI,DLTR,EMN,FDX,GWW,HES,HIG,HON,ILMN,INTU,IRM,KIM,KLAC,LHX,LOW,LRCX,LUMN,LUV,MAA,MAR,MCK,MDLZ,MET,MS,MSFT,MTB,MTD,NEM,NVDA,POOL,PPG,RJF,SYY,UNH,VNO,VRSN,WBA,WEC,WHR,WM,WST,ZBH
2020-04-03,50,100,84,100,20,-100,0,100,47,-80,100,0,-100,0,0,100,0,-52,3,-61,71,0,-100,-75,-37,-16,71,0,-13,-68,-67,-57,-100,-42,100,100,7,-10,100,100,100,100,65,100,-76,93,74,100,100,-78
2020-04-06,-239,-111,-143,-124,-165,-6,0,-236,-135,0,-247,0,-30,0,0,-100,0,-45,-3,0,-71,0,-27,-94,-63,0,-128,-106,-87,-32,-224,0,-81,-79,-213,-301,-122,0,-148,-111,-205,-260,-104,-392,-24,-195,-74,-179,-236,0
2020-04-07,0,81,0,60,99,0,14,100,100,0,0,100,0,0,0,26,0,28,100,100,0,1,0,0,0,0,2,0,0,0,86,0,0,56,0,28,0,0,0,97,0,55,100,100,0,0,100,0,22,0
2020-04-08,0,-11,0,51,-8,0,3,35,45,31,0,-100,0,100,0,2,0,-28,100,-100,0,49,30,0,0,0,100,72,77,0,67,23,0,94,19,12,0,28,0,26,18,100,100,70,0,100,100,0,100,0
2020-04-09,74,100,3,-76,71,84,-17,100,2,-31,100,100,0,-100,0,86,92,3,98,0,0,97,100,0,0,100,64,-72,-58,0,15,14,62,100,86,-40,0,100,90,39,-18,81,65,67,48,-50,100,84,11,24
2020-04-13,-63,100,-3,10,100,-84,0,100,100,0,100,-22,0,49,35,18,77,100,100,0,48,33,-100,0,0,100,87,0,-16,0,90,-37,-35,-83,100,0,100,100,-90,100,0,-42,100,100,24,100,100,-53,19,-6
2020-04-14,100,-60,0,-45,-44,57,100,100,100,0,20,-78,0,9,-35,5,-8,73,100,0,-48,32,-30,15,100,-81,38,0,-3,0,53,0,100,-51,100,35,-11,-22,46,6,0,68,100,100,100,100,68,-10,-100,52
2020-04-15,-100,100,0,84,30,-57,0,100,100,77,-46,0,0,-58,77,0,-86,100,100,100,0,-72,0,-15,-38,-15,-50,0,0,0,-6,0,-100,-56,100,81,100,100,-46,1,0,100,100,100,100,90,-42,-21,-52,-55
2020-04-16,-11,100,0,0,100,0,-100,0,-61,0,0,0,0,0,-77,-47,0,-100,100,3,0,0,0,0,0,-52,-38,0,0,0,100,0,0,0,0,100,0,-11,0,0,0,0,73,-24,0,0,-60,0,0,0
2020-04-17,0,-73,0,0,100,0,0,100,-100,0,0,0,100,0,0,-75,-75,100,1,100,0,-15,0,0,-2,0,-9,0,0,0,100,0,-27,-60,-92,-5,0,-91,0,0,0,0,100,-9,-18,47,0,0,100,100
2020-04-20,0,0,0,0,0,0,0,0,0,0,0,0,-24,0,0,-15,0,100,0,100,0,-100,0,0,6,-52,0,0,39,0,0,0,0,0,0,-100,1,100,0,0,0,-61,-9,0,-100,-67,0,0,-18,100
2020-04-21,0,-31,0,-7,0,100,0,0,-100,0,-60,0,-76,0,0,0,0,100,-18,-100,0,0,0,0,100,0,-58,0,-39,0,0,0,0,0,-43,0,0,100,0,0,0,0,0,-100,-100,79,0,0,0,0
2020-04-22,0,-99,0,0,0,-98,7,-1,100,100,0,0,38,0,0,0,0,100,0,-23,0,0,0,100,-50,0,-15,0,0,0,-38,0,0,0,0,-42,100,-71,0,0,0,100,-42,-100,-54,-62,0,0,-82,0
2020-04-23,0,0,0,0,0,100,0,0,-75,0,-3,0,-38,0,0,0,0,-81,11,2,0,-10,0,49,100,0,0,0,0,0,0,0,0,0,-8,-69,0,0,0,-18,0,0,0,0,0,-42,0,0,0,-77
2020-04-24,0,-7,0,-39,81,0,0,6,-14,0,0,0,0,0,0,0,0,-16,0,2,0,-10,0,0,0,0,0,0,0,0,-42,0,0,0,0,0,0,0,0,-9,0,-26,0,-54,0,-13,-30,0,0,0
2020-04-27,0,-55,0,0,0,-48,0,100,100,100,0,0,0,0,0,100,0,-59,0,0,0,-5,0,0,100,0,0,0,0,0,3,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,0,-51,0,0,100,-46,-7,100,33,0,-44,0,0,0,0,0,0,0,-100,85,0,0,0,100,-71,0,100,74,94,0,85,0,84,0,-100,0,-18,-12,-100,-30,0,100,-58,-100,0,0,-33,0,0,-99
2020-04-29,0,0,0,0,-15,-8,0,0,0,0,-67,0,0,0,0,-100,0,-58,20,-100,0,0,0,-41,-60,0,0,-74,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,-9,0,0,-50,0,0,0
2020-04-30,0,-94,0,0,-16,0,0,-100,10,-63,0,0,0,0,0,0,0,0,0,-16,0,0,0,0,-100,0,0,0,-94,0,0,1,0,0,51,0,-22,0,0,0,0,0,0,0,0,0,0,0,0,-28
2020-05-01,0,2,0,0,-76,0,0,100,-27,0,100,0,0,0,0,0,0,100,-35,-46,0,0,0,0,100,0,-77,0,0,0,100,-1,0,0,0,0,100,-100,0,0,0,87,0,-8,0,-45,0,0,0,-11
2020-05-04,0,-2,0,100,-41,0,0,-84,100,-18,-49,10,6,0,100,0,0,-100,-37,3,0,56,28,100,61,65,87,0,43,0,100,42,23,37,-100,100,100,-26,58,100,0,100,76,-36,0,-100,28,0,0,18
2020-05-05,0,0,0,100,0,0,0,0,0,100,-51,-10,100,0,-34,0,0,-66,100,2,0,-56,-9,-97,-11,-65,-47,0,-43,0,-25,100,0,69,0,0,-100,0,0,0,0,0,-100,100,0,0,0,0,0,0
2020-05-06,0,100,0,0,0,100,0,0,-88,0,0,0,-100,0,-66,0,0,-70,3,-100,0,100,-19,0,-53,0,60,0,0,0,-28,-70,-13,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,0,-36,0,0,-100,-100,0,-57,0,0,0,0,-6,0,0,0,0,-13,-100,-12,0,100,0,100,-14,0,-36,0,0,0,0,-69,-72,-6,100,0,-6,-3,0,0,0,0,0,-30,0,74,100,0,0,0
2020-05-08,0,-64,0,100,100,0,0,100,0,100,0,0,0,0,0,0,0,-32,100,0,0,17,0,0,100,0,0,0,0,0,0,-3,0,0,-65,0,0,-100,-5,100,0,0,0,0,0,0,0,0,0,-18
2020-05-11,0,0,0,0,100,0,0,100,-43,-91,0,0,0,0,0,0,9,-28,-67,0,0,-100,0,0,-100,0,-98,0,0,0,0,0,-22,0,-33,0,100,100,-53,0,0,-15,-100,0,0,0,0,0,0,0
2020-05-12,0,0,1,100,0,6,79,36,-100,69,0,0,0,0,0,0,-9,-17,100,100,0,-47,0,41,-100,0,-21,0,78,0,-27,0,36,0,-100,-100,-6,-7,30,30,100,0,43,51,69,100,87,0,0,81
2020-05-13,0,0,0,0,0,-6,-74,-100,100,0,0,0,0,0,0,0,0,100,100,-65,0,-70,0,0,2,0,82,0,-45,0,100,0,0,0,0,1,-31,-88,0,100,100,-7,-3,0,-69,0,0,0,0,0
2020-05-14,0,100,-1,100,-22,0,0,100,-37,0,0,0,0,0,0,0,0,0,92,100,0,100,0,100,100,0,-100,0,-33,0,60,0,100,0,-100,-1,0,0,100,-21,-31,0,-36,-65,0,0,100,0,0,100
