account_value,date,daily_return
1078979.0440807098,2019-04-04,
1085075.6224324175,2019-04-05,0.005650321371071687
1080027.4813001198,2019-04-08,-0.004652340378803466
1067040.4957561365,2019-04-09,-0.012024680639005414
1069534.790700381,2019-04-10,0.0023375822699933657
1074761.4092605624,2019-04-11,0.004886814908338533
1085360.0467548307,2019-04-12,0.009861386353237522
1084230.6199528403,2019-04-15,-0.0010406010478895
1082041.926728887,2019-04-16,-0.0020186602219816052
1073265.5054127402,2019-04-17,-0.008110980821860347
1077055.3164555258,2019-04-18,0.0035311029970428454
1077344.5741364188,2019-04-22,0.0002685634400327874
1087217.5690457053,2019-04-23,0.009164194210752319
1089261.9835793204,2019-04-24,0.001880409765093738
1090717.0755230612,2019-04-25,0.0013358512145622559
1086361.627095861,2019-04-26,-0.003993197250635849
1078381.478582067,2019-04-29,-0.00734575698805473
1088847.6426464743,2019-04-30,0.009705437521209115
1081494.8692490286,2019-05-01,-0.006752802788436596
1085515.6629978842,2019-05-02,0.0037178112103735117
1092722.9793221182,2019-05-03,0.006639532316216945
1088768.3269974417,2019-05-06,-0.0036190804069388127
1068486.4928051657,2019-05-07,-0.018628236778533425
1070208.6305233664,2019-05-08,0.0016117543177167626
1068034.9461704916,2019-05-09,-0.002031084679079642
1073296.0211979575,2019-05-10,0.004925939030674842
1046988.1945397087,2019-05-13,-0.02451124958879969
1055233.0626331992,2019-05-14,0.00787484341895106
1062205.7378517813,2019-05-15,0.006607711097662783
1071494.3897740073,2019-05-16,0.008744682495324785
1068689.51054923,2019-05-17,-0.002617726468328807
1060565.105502767,2019-05-20,-0.0076022127720591914
1071062.985202474,2019-05-21,0.009898383083922546
1060964.278712911,2019-05-22,-0.009428676584929296
1048809.7719494528,2019-05-23,-0.011456094241177772
1061378.4372288412,2019-05-24,0.011983741585499086
1048931.3557964987,2019-05-28,-0.011727279352726105
1040286.9531456657,2019-05-29,-0.008241151914339495
1041470.1809727378,2019-05-30,0.001137405235636324
1033084.2406861015,2019-05-31,-0.008052021497921169
1033049.2487713523,2019-06-03,-3.3871308235178255e-05
1057613.7203404135,2019-06-04,0.023778606487809384
1075626.366214437,2019-06-05,0.01703140336362674
1082609.550300283,2019-06-06,0.0064922024089300034
1091063.8675858206,2019-06-07,0.007809202572795382
1093604.2977101034,2019-06-10,0.002328397264134585
1084842.4208122916,2019-06-11,-0.00801192617490476
1083024.069957418,2019-06-12,-0.0016761428388024635
1087945.8129669852,2019-06-13,0.004544444713736384
1082820.6189324087,2019-06-14,-0.004710890904207177
1083084.1802536673,2019-06-17,0.00024340256977972707
1096157.011336965,2019-06-18,0.012070004641962395
1102297.670354528,2019-06-19,0.005601988541835912
1114872.888322515,2019-06-20,0.011408187013533855
1105158.864009542,2019-06-21,-0.008713122737776136
1102469.404369039,2019-06-24,-0.0024335502596843916
1090189.072431249,2019-06-25,-0.011138932190883022
1086541.357909841,2019-06-26,-0.003345946692781654
1090806.858079595,2019-06-27,0.003925759602892098
1100334.187686605,2019-06-28,0.008734203985280242
1099464.3800160117,2019-07-01,-0.0007904940883659561
1104305.9257370657,2019-07-02,0.004403549409198293
1113472.132009191,2019-07-03,0.008300422970208388
