account_rewards,date
6096.578351707663,2019-04-04
-5048.141132297693,2019-04-05
-12986.98554398329,2019-04-08
2494.294944244437,2019-04-09
5226.618560181465,2019-04-10
10598.637494268361,2019-04-11
-1129.4268019904848,2019-04-12
-2188.693223953247,2019-04-15
-8776.42131614685,2019-04-16
3789.8110427856445,2019-04-17
289.25768089294434,2019-04-18
9872.994909286499,2019-04-22
2044.4145336151123,2019-04-23
1455.0919437408447,2019-04-24
-4355.448427200317,2019-04-25
-7980.148513793945,2019-04-26
10466.164064407349,2019-04-29
-7352.773397445679,2019-04-30
4020.793748855591,2019-05-01
7207.316324234009,2019-05-02
-3954.6523246765137,2019-05-03
-20281.834192276,2019-05-06
1722.1377182006836,2019-05-07
-2173.684352874756,2019-05-08
5261.07502746582,2019-05-09
-26307.826658248785,2019-05-10
8244.868093490484,2019-05-13
6972.675218582153,2019-05-14
9288.651922225952,2019-05-15
-2804.8792247772217,2019-05-16
-8124.405046463013,2019-05-17
10497.879699707031,2019-05-20
-10098.706489562988,2019-05-21
-12154.506763458252,2019-05-22
12568.665279388428,2019-05-23
-12447.08143234253,2019-05-24
-8644.402650833013,2019-05-28
1183.2278270721436,2019-05-29
-8385.940286636353,2019-05-30
-34.99191474914551,2019-05-31
24564.471569061163,2019-06-03
18012.645874023438,2019-06-04
6983.184085845947,2019-06-05
8454.31728553772,2019-06-06
2540.430124282837,2019-06-07
-8761.87689781189,2019-06-10
-1818.3508548736572,2019-06-11
4921.743009567261,2019-06-12
-5125.194034576416,2019-06-13
263.5613212585449,2019-06-14
13072.83108329773,2019-06-17
6140.659017562866,2019-06-18
12575.21796798706,2019-06-19
-9714.024312973022,2019-06-20
-2689.4596405029297,2019-06-21
-12280.331937789917,2019-06-24
-3647.714521408081,2019-06-25
4265.500169754028,2019-06-26
9527.329607009888,2019-06-27
-869.8076705932617,2019-06-28
4841.545721054077,2019-07-01
9166.206272125244,2019-07-02
