account_value,date,daily_return
1021427.1322553789,2018-07-03,
1028588.5691760045,2018-07-05,0.007011206863883457
1035950.1637677662,2018-07-06,0.00715698658566577
1048103.1827120258,2018-07-09,0.011731277593565848
1052523.5589857285,2018-07-10,0.004217501050101546
1044461.1668384714,2018-07-11,-0.00766005860716934
1050863.0737677317,2018-07-12,0.006129387221392335
1052554.571976163,2018-07-13,0.0016096276010220123
1052375.5081229487,2018-07-16,-0.00017012310618547133
1061230.01675653,2018-07-17,0.008413830011470447
1071700.9964280291,2018-07-18,0.009866833303021405
1071582.0504212733,2018-07-19,-0.00011098805277987012
1067061.637317506,2018-07-20,-0.0042184479499169925
1066281.7135076458,2018-07-23,-0.0007309079275127361
1064459.3847716267,2018-07-24,-0.0017090499751930555
1069582.793756055,2018-07-25,0.004813155915317058
1078377.6991455758,2018-07-26,0.008222743896838303
1077299.3244499941,2018-07-27,-0.000999997214738424
1076131.0914781145,2018-07-30,-0.0010844088967345566
1080072.921081279,2018-07-31,0.003662964144777403
1079789.4635239958,2018-08-01,-0.0002624429811640683
1079871.3392504398,2018-08-02,7.582563935826236e-05
1080715.5394467441,2018-08-03,0.0007817599797492747
1081177.6260456708,2018-08-06,0.0004275746781279288
1082100.1537448207,2018-08-07,0.0008532619219323578
1080874.3487043658,2018-08-08,-0.0011328018355905023
1081416.13804766,2018-08-09,0.0005012509954960276
1077087.5335028719,2018-08-10,-0.0040027186505675605
1075825.5042452044,2018-08-13,-0.001171705379936161
1082302.7979447434,2018-08-14,0.006020766075892192
1077062.5384433854,2018-08-15,-0.004841768413894054
1083105.1158866955,2018-08-16,0.005610238243030086
1084807.0579936518,2018-08-17,0.0015713545084339309
1087167.337285607,2018-08-20,0.002175759527524024
1092379.2267343812,2018-08-21,0.004794008493473667
1092520.601540732,2018-08-22,0.00012941916405107
1090864.269333859,2018-08-23,-0.001516064964392605
1097950.4066154503,2018-08-24,0.006495892734591502
1102772.1411945482,2018-08-27,0.004391577752552056
1104568.0935070405,2018-08-28,0.0016285796905848304
1109292.657371865,2018-08-29,0.004277295254676128
1091699.605896397,2018-08-30,-0.01585970244962165
1097272.3215867009,2018-08-31,0.005104623708028333
1099887.0010440594,2018-09-04,0.0023828901959157545
1103457.217655494,2018-09-05,0.00324598491303707
1105594.4865516124,2018-09-06,0.0019368842415652399
1102560.8017338444,2018-09-07,-0.0027439398935771298
1109330.230842382,2018-09-10,0.006139733153847082
1110654.5384329066,2018-09-11,0.0011937902291898617
1114852.5248314464,2018-09-12,0.0037797409124740167
1112482.5600377948,2018-09-13,-0.0021258101326091516
1116523.472048781,2018-09-14,0.0036323374011806298
1112262.0279731585,2018-09-17,-0.0038167080068661763
1115763.6109238649,2018-09-18,0.0031481637084089797
1112346.4944174907,2018-09-19,-0.0030625810636939477
1113745.8288721072,2018-09-20,0.001258002305611905
1112117.127282248,2018-09-21,-0.0014623638065683897
1101453.395851298,2018-09-24,-0.009588676560543408
1101803.8680903937,2018-09-25,0.00031819071094219
1094047.7800994536,2018-09-26,-0.007039445236639685
1087612.3218247066,2018-09-27,-0.005882246088157128
1092089.6005250392,2018-09-28,0.00411661270333985
1093979.9485894085,2018-10-01,0.001730945943868134
