account_rewards,date
1145.0169825784396,2021-04-06
5329.309094379423,2021-04-07
4741.528360590804,2021-04-08
-1668.5476039466448,2021-04-09
-710.9232809094246,2021-04-12
-1820.104138565017,2021-04-13
17865.01106947125,2021-04-14
190.19533986295573,2021-04-15
-5153.973926143721,2021-04-16
-5614.275506973267,2021-04-19
19541.498744010925,2021-04-20
-5042.048588752747,2021-04-21
8750.135033607483,2021-04-22
-10423.73000717163,2021-04-23
1102.7007398605347,2021-04-26
-6578.30454158783,2021-04-27
14623.775367736816,2021-04-28
-11033.622822761536,2021-04-29
13198.127732276917,2021-04-30
-7049.632258415222,2021-05-03
-11622.777933120728,2021-05-04
1584.6821336746216,2021-05-05
31979.2646818161,2021-05-06
-5500.273908615112,2021-05-07
-24253.591031074524,2021-05-10
-31869.34959411621,2021-05-11
15147.60011768341,2021-05-12
18080.761805534363,2021-05-13
1227.1796283721924,2021-05-14
-10247.189856529236,2021-05-17
-4478.581151008606,2021-05-18
16701.76818370819,2021-05-19
9280.964122772217,2021-05-20
8321.76694393158,2021-05-21
-2090.848484992981,2021-05-24
-8540.127534866333,2021-05-25
12522.794994354248,2021-05-26
1484.976505279541,2021-05-27
-207.75682067871094,2021-05-28
-4100.027737617493,2021-06-01
-2681.871856689453,2021-06-02
12364.432483673096,2021-06-03
-5585.578575134277,2021-06-04
-1849.9139194488525,2021-06-07
-7751.440190315247,2021-06-08
15927.558186531067,2021-06-09
5679.8152894973755,2021-06-10
-7673.175669670105,2021-06-11
4086.4096183776855,2021-06-14
-14688.688075065613,2021-06-15
1113.9881429672241,2021-06-16
-21756.392650604248,2021-06-17
32873.05661010742,2021-06-18
6281.661796569824,2021-06-21
-6277.826140403748,2021-06-22
4465.349293708801,2021-06-23
6501.565874099731,2021-06-24
-7786.620158195496,2021-06-25
-11646.132865905762,2021-06-28
2121.7802000045776,2021-06-29
15098.234354019165,2021-06-30
6101.250491142273,2021-07-01
