date,ADM,AIG,AVB,BA,BIO,BLK,CAG,CPB,DHI,DLTR,EMN,FDX,GWW,HES,HIG,HON,ILMN,INTU,IRM,KIM,KLAC,LHX,LOW,LRCX,LUMN,LUV,MAA,MAR,MCK,MDLZ,MET,MS,MSFT,MTB,MTD,NEM,NVDA,POOL,PPG,RJF,SYY,UNH,VNO,VRSN,WBA,WEC,WHR,WM,WST,ZBH
2021-07-06,0,0,0,-100,0,0,0,0,0,100,100,0,0,1,-2,0,0,100,-100,0,0,0,-100,0,-15,-100,-100,0,-100,100,0,100,9,0,0,0,0,100,0,0,-100,0,0,-100,0,0,0,0,0,-100
2021-07-07,0,0,0,-100,0,0,0,0,0,100,100,0,0,0,0,0,0,100,-100,0,0,0,-100,0,0,-100,-100,0,-100,100,0,100,3,0,0,0,0,100,0,0,-100,0,0,-100,0,0,0,0,0,-100
2021-07-08,0,0,0,-100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,-5,0,0,0,-8,0,0,-100,-100,0,-100,80,0,0,0,0,0,0,0,100,0,0,-100,0,0,-100,0,0,0,0,0,-100
2021-07-09,0,0,0,-100,0,0,0,0,0,0,93,0,0,0,0,0,0,100,0,0,0,0,0,0,0,-23,-100,0,-100,1,0,0,0,0,0,0,0,100,0,0,-100,0,0,-100,0,0,0,0,0,-100
2021-07-12,0,0,0,-100,0,0,0,0,0,0,78,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,-100,0,-100,1,0,0,0,0,0,0,0,100,0,0,-100,0,0,-100,0,0,0,0,0,-100
2021-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-100
2021-07-14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-100
2021-07-15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,-100,0,-100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100
2021-07-16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100
2021-07-19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,-100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100
2021-07-20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,-100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100
2021-07-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-100
2021-07-22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100
2021-07-23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100
