date,ADM,AIG,AVB,BA,BIO,BLK,CAG,CPB,DHI,DLTR,EMN,FDX,GWW,HES,HIG,HON,ILMN,INTU,IRM,KIM,KLAC,LHX,LOW,LRCX,LUMN,LUV,MAA,MAR,MCK,MDLZ,MET,MS,MSFT,MTB,MTD,NEM,NVDA,POOL,PPG,RJF,SYY,UNH,VNO,VRSN,WBA,WEC,WHR,WM,WST,ZBH
2018-10-02,0,0,-37,-21,100,0,100,-47,-100,100,0,0,0,0,0,0,0,0,0,0,0,-59,-79,0,100,1,0,0,0,0,1,0,0,0,0,100,-44,-85,0,0,0,0,0,30,-69,100,0,-1,0,0
2018-10-03,100,0,0,0,-100,0,-26,-100,-13,0,0,0,0,0,0,100,0,100,0,100,0,100,-100,0,-100,100,0,-80,100,100,0,100,0,0,0,100,-27,-100,0,0,59,0,0,-100,-12,0,0,0,0,0
2018-10-04,-35,0,0,0,0,0,0,0,-83,0,0,0,0,1,0,0,0,43,0,0,0,0,-16,0,100,0,0,0,0,1,0,-72,0,0,-4,-44,0,0,0,0,100,0,0,-1,-68,-10,0,0,0,0
2018-10-05,0,-72,0,0,0,0,-37,-7,-17,0,0,0,0,0,0,-100,100,1,0,0,0,0,-94,0,-30,0,0,0,100,-82,-1,-11,0,-11,0,1,0,-70,0,0,-12,0,0,0,-70,-90,0,100,0,0
2018-10-08,-11,0,-100,100,0,0,-11,-100,-100,0,0,0,0,100,0,0,-6,29,0,0,0,-100,2,0,0,-100,0,0,0,-19,0,100,0,-16,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0
2018-10-09,-98,0,-74,-49,0,0,-14,-29,-23,-69,0,0,0,-100,0,-39,100,100,0,100,100,0,0,79,100,0,0,0,0,0,0,0,0,-88,0,-97,100,-95,0,0,0,0,0,0,-39,100,0,-49,0,0
2018-10-10,0,0,0,-25,0,0,-12,-100,-100,100,0,0,100,-1,0,77,-54,0,0,-29,-24,0,0,1,100,-1,0,0,0,0,0,0,0,-35,0,0,0,-100,100,0,0,0,0,-4,0,0,0,-51,0,0
2018-10-11,-65,0,0,0,100,0,0,0,-49,-2,0,0,0,0,100,0,0,0,0,-63,43,0,0,-100,-40,0,100,0,100,0,100,-100,0,0,-82,100,100,0,100,0,0,0,1,-28,-90,0,0,0,0,0
2018-10-12,-91,0,0,0,0,0,0,0,-100,0,0,0,0,0,100,0,-52,1,0,1,100,0,-100,100,100,100,0,0,1,100,-20,0,0,-100,58,0,-100,0,0,0,-24,0,-1,-55,-9,-100,0,0,0,0
2018-10-15,0,0,-10,-82,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,1,0,0,-20,-29,0,0,-20,0,0,-100,0,-29,0,-59,100,7,0,-65,-38,0,0,36,0,0,0,0,0,0,0,0
2018-10-16,0,0,0,100,-50,0,0,-37,-100,100,0,0,-100,100,-1,0,0,-3,0,0,-40,14,-99,0,100,-63,0,0,0,0,0,0,0,0,0,-100,0,100,0,0,-56,0,0,0,0,0,0,0,0,0
2018-10-17,0,0,-15,-9,100,0,0,0,-100,100,0,100,0,0,1,0,-32,0,0,-8,-26,-14,-72,-100,-31,-37,-80,0,100,100,0,100,0,35,-47,-42,-87,0,-30,0,0,-21,0,-21,100,0,100,0,0,0
2018-10-18,0,0,0,12,0,0,0,100,0,-12,0,0,0,-11,-100,0,0,100,7,1,0,0,-100,0,-39,0,0,0,0,-100,0,0,0,-43,0,-1,0,100,0,0,0,0,0,-59,-31,0,-76,0,0,0
2018-10-19,0,0,-100,-100,0,0,1,0,-100,-57,0,100,0,0,0,-27,-56,100,-7,0,0,0,-100,0,0,0,0,0,100,0,100,100,98,0,0,0,-13,0,100,0,-44,0,0,0,0,0,0,0,100,0
2018-10-22,0,0,0,-3,100,90,-1,-64,-83,-40,0,-100,0,-89,1,2,0,0,0,-25,0,0,-100,0,-85,0,0,0,100,0,100,0,-98,-100,0,-24,0,0,0,0,0,0,0,-47,0,0,-12,100,-55,0
2018-10-23,100,0,-60,0,0,-82,0,-100,0,100,0,100,50,0,5,0,0,0,0,-78,0,0,0,0,-92,0,0,0,0,0,-44,-11,0,0,0,0,0,100,0,0,0,0,0,-63,0,0,0,-77,0,0
2018-10-24,100,13,0,0,0,-8,0,0,-100,0,0,0,0,0,0,-95,0,0,0,0,0,0,-2,-3,0,0,0,0,0,0,-100,0,0,0,64,0,0,0,0,0,-51,0,0,-100,0,0,0,0,0,0
2018-10-25,-200,-13,0,0,-250,0,0,-686,-876,-953,0,-200,-50,0,-106,-159,0,-471,0,0,-153,0,-14,0,-1989,0,0,0,-601,0,-136,-189,0,-463,-312,0,0,-1308,-232,0,-353,-15,0,-137,-69,0,-12,-23,-45,0
2018-10-26,100,100,46,0,0,0,4,0,100,1,23,100,100,100,0,10,0,0,100,0,40,39,0,0,0,0,0,0,0,0,20,0,43,84,0,75,28,100,0,100,0,100,8,100,0,75,76,99,0,100
2018-10-29,100,100,100,0,0,0,23,0,52,-1,100,-26,25,100,0,-10,0,82,100,34,42,100,72,0,0,71,41,0,0,15,-20,0,-43,77,0,100,35,64,0,100,100,-78,-7,-40,0,69,100,100,0,100
2018-10-30,100,100,100,57,0,0,-27,61,33,0,59,18,100,100,0,4,38,92,100,-34,-76,100,-72,21,0,-23,-41,0,0,-15,0,0,0,-77,100,100,-63,-100,0,100,57,83,31,-60,0,74,73,100,67,100
2018-10-31,100,100,100,9,0,0,47,10,100,0,100,-52,100,-100,0,23,-38,100,100,0,-6,-40,0,-21,0,49,8,98,0,95,13,0,0,-60,-100,42,0,86,0,100,100,-42,-32,100,0,49,60,42,-67,24
2018-11-01,100,100,84,-59,0,0,81,-40,100,0,100,5,100,-46,0,-20,44,100,100,0,0,-22,100,0,44,34,4,21,0,-95,0,0,98,25,0,100,48,-83,0,46,4,-63,100,-3,0,-19,14,74,0,35
2018-11-02,-500,-500,-430,-7,0,0,-128,-31,-385,0,-382,-45,-425,-154,0,-7,-44,-374,-500,0,0,-177,-100,0,-44,-131,-12,-119,0,0,-13,0,-98,-49,0,-417,-48,-67,0,-446,-261,0,-100,-97,0,-248,-323,-415,0,-359
2018-11-05,100,100,100,0,0,0,83,0,59,0,80,40,100,28,0,100,100,100,100,0,0,9,0,0,0,0,0,87,0,0,0,0,0,100,0,0,0,11,0,100,6,0,72,66,0,100,0,100,86,0
2018-11-06,100,100,-99,58,0,0,-68,0,100,0,100,15,-59,-28,0,-100,100,-100,-15,28,55,23,52,0,0,100,100,-87,0,22,12,0,0,100,0,69,0,-11,0,81,100,15,-38,49,0,-88,0,100,-86,100
2018-11-07,100,100,100,-58,0,0,100,0,-5,0,100,100,100,100,18,0,-31,0,71,-28,-55,100,-28,0,6,24,-100,27,0,93,7,0,0,27,0,-69,0,0,0,100,100,100,100,100,0,-12,100,100,0,-54
2018-11-08,-100,58,100,0,72,0,-23,0,100,0,100,-100,37,92,-18,92,100,11,100,0,0,15,30,13,100,48,0,100,0,-100,100,0,72,-37,0,100,100,0,0,100,23,-49,100,-37,0,100,-43,67,2,62
2018-11-09,-100,-37,100,100,-72,0,-12,0,8,0,100,41,100,100,0,83,-100,-11,100,0,28,-16,13,55,-1,53,0,-85,0,-15,-37,0,46,100,0,-46,-30,0,36,97,100,5,100,-32,23,6,-20,-41,-2,100
2018-11-12,37,100,59,54,10,0,61,0,-29,0,-2,-27,50,21,0,-41,47,78,100,0,-28,100,-51,-38,100,-24,0,39,0,0,-82,0,-100,-64,0,-54,-70,0,-36,100,-73,100,-100,89,30,-35,100,100,0,100
2018-11-13,100,95,100,31,-10,0,-100,18,-17,0,100,25,15,18,0,-52,-100,76,100,100,0,-48,-16,-30,100,-81,0,-81,0,0,0,0,-1,-100,0,80,0,0,0,100,100,100,5,-13,5,100,6,100,5,100
2018-11-14,68,100,-36,-87,0,0,-41,-18,83,0,62,-70,100,69,0,-82,-7,-67,10,100,32,-25,25,0,-20,100,0,0,0,100,32,0,68,9,99,100,0,0,0,-22,-37,-100,100,37,22,6,53,-24,-5,52
2018-11-15,87,100,100,-52,0,3,17,0,41,0,100,-24,100,55,0,0,-34,46,100,-20,-32,-100,14,1,31,77,0,0,0,-26,-32,0,100,64,57,61,32,34,0,100,57,100,-18,37,72,100,100,78,100,95
2018-11-16,0,-72,-73,-46,0,-3,-17,0,100,100,0,100,69,0,0,0,0,0,6,-100,0,-58,0,-1,1,0,0,0,0,-2,0,0,-90,0,0,0,0,0,0,100,0,0,0,0,0,0,-100,-87,-4,100
2018-11-19,-100,-100,-100,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,41,-75,-57,0,0,100,0,0,-54,0,0,0,0,0,100,100,0,0,0,1,-34,0,0,100,0,0,0,-55,-100,0,-1,0,100
2018-11-20,-66,-100,50,0,0,0,2,100,-36,0,-100,-100,-23,0,0,100,0,0,-14,-23,0,0,-3,0,100,0,0,0,0,100,0,100,-32,100,0,-5,100,0,0,-1,100,0,0,-73,0,-32,-100,1,100,0
2018-11-21,100,0,-100,0,0,0,-2,-56,-100,100,-78,0,0,-100,0,-38,43,0,-100,2,0,0,0,0,-100,0,0,0,0,0,0,0,-100,0,100,0,-3,0,0,0,0,0,-100,1,-27,-56,-68,-100,-100,0
2018-11-23,0,-100,-100,0,0,0,0,-44,0,100,-59,0,100,0,0,0,0,0,-27,0,0,0,-100,0,0,-58,100,0,0,0,100,-49,-63,100,0,1,0,0,0,-100,0,1,-100,-38,0,-14,0,-54,100,-75
2018-11-26,-72,-100,0,0,0,0,0,1,-34,0,0,0,0,0,0,0,0,0,-100,-2,0,0,-36,0,1,-100,-100,0,3,0,0,0,0,0,64,-15,0,0,0,0,0,0,-100,0,0,-75,0,-30,0,0
2018-11-27,-72,-67,-89,100,18,0,0,0,-28,0,-81,0,0,-18,6,-29,0,0,-100,1,0,0,0,0,0,0,0,0,0,-100,-55,0,0,0,-5,0,100,0,0,-11,0,0,0,0,0,0,-3,-100,0,100
2018-11-28,-3,1,-31,-100,0,100,0,-1,-1,-4,-100,0,80,0,-6,-33,0,0,-100,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,-22,0,0,0,-8,0,0,-21,0,0,0,-25,0,0,-100
