account_value,date,daily_return
875652.994757968,2019-01-03,
903103.6767131034,2019-01-04,0.03134881296525793
909140.2453039695,2019-01-07,0.006684247608022664
920294.946588502,2019-01-08,0.012269505548951898
926457.4192826025,2019-01-09,0.006696193124763328
935015.5323050681,2019-01-10,0.009237459643954837
937074.8787408058,2019-01-11,0.002202472969257352
931923.3590111381,2019-01-14,-0.005497447265462974
947456.0818324224,2019-01-15,0.016667382216672966
946805.3315066912,2019-01-16,-0.0006868395677745998
961722.2709018785,2019-01-17,0.015755022599470703
975700.6076796114,2019-01-18,0.014534691771902475
968068.2856369879,2019-01-22,-0.007822401649184685
968958.8545735322,2019-01-23,0.0009199443363216986
966777.3082252999,2019-01-24,-0.0022514334204546405
976206.5820833609,2019-01-25,0.009753304900556925
971681.4946016103,2019-01-28,-0.004635378991292405
973610.8016115018,2019-01-29,0.001985534375832154
981395.4553422624,2019-01-30,0.007995652593290492
986821.0090325796,2019-01-31,0.005528407188746476
987298.9613067686,2019-02-01,0.000484335325063201
1001691.5424090921,2019-02-04,0.014577733459046449
1007834.9920697939,2019-02-05,0.00613307530372742
1007934.6771735612,2019-02-06,9.891014357688022e-05
1004270.1472960206,2019-02-07,-0.003635681915237332
1005172.2144192507,2019-02-08,0.000898231542238781
1009794.3513077166,2019-02-11,0.004598353219638529
1025833.2282244656,2019-02-12,0.015883310196752598
1027052.4327718022,2019-02-13,0.0011885017113812957
1025591.4097186195,2019-02-14,-0.0014225398884841756
1035525.0572585193,2019-02-15,0.009685774905842104
1037499.4775048019,2019-02-19,0.0019066851472524515
1037081.826274439,2019-02-20,-0.0004025556054904067
1034204.6255740502,2019-02-21,-0.0027743237105259944
1046807.9437184957,2019-02-22,0.012186484021428301
1045001.3789139044,2019-02-25,-0.0017257843861729905
1040737.5362200701,2019-02-26,-0.004080226858902192
1043814.0457188694,2019-02-27,0.0029560858446340266
1039121.8106655609,2019-02-28,-0.004495278706541095
1053898.9948591625,2019-03-01,0.014220839214352354
1047072.10213787,2019-03-04,-0.006477748583681664
1041702.2554702684,2019-03-05,-0.005128440206398133
1032142.6223401892,2019-03-06,-0.009176934272609016
1023083.6112677499,2019-03-07,-0.008776898537432354
1019279.0064614889,2019-03-08,-0.003718762341962001
1032627.4862691633,2019-03-11,0.013096001902378696
1036549.4836712762,2019-03-12,0.0037980757381181895
1044436.3160366232,2019-03-13,0.007608736958136575
1044398.455652428,2019-03-14,-3.624958612979956e-05
1046731.2283741076,2019-03-15,0.002233604147013457
1049965.2337943786,2019-03-18,0.0030896235180586373
1049831.1823095372,2019-03-19,-0.00012767230811727703
1045061.2348991616,2019-03-20,-0.004543537561803146
1064256.9841592927,2019-03-21,0.01836806171648231
1039781.5730928978,2019-03-22,-0.022997651348024006
1038120.51173786,2019-03-25,-0.0015975098982536906
1042562.5448757042,2019-03-26,0.004278918572187651
1039016.4465794719,2019-03-27,-0.003401329074847026
1048114.6910928616,2019-03-28,0.008756593356478382
1058622.889534014,2019-03-29,0.010025809704275357
1074629.4596569675,2019-04-01,0.015120181399062016
1073466.3736250405,2019-04-02,-0.0010823135560589225
1076329.7744235748,2019-04-03,0.0026674340891226223
