account_rewards,date
54020.28636390017,2020-04-03
-671.4021373012802,2020-04-06
7660.8887815150665,2020-04-07
4266.223164415336,2020-04-08
-10573.65479521011,2020-04-09
18295.826393276104,2020-04-13
-20324.43202114862,2020-04-14
12651.954977876623,2020-04-15
28000.632221057545,2020-04-16
-20315.623453905107,2020-04-17
-30571.776728855213,2020-04-20
24167.812764329836,2020-04-21
3198.8445202833973,2020-04-22
17054.36274646758,2020-04-23
27851.222042043693,2020-04-24
-17191.834986518836,2020-04-27
23628.36288522347,2020-04-28
-15074.984522403916,2020-04-29
-29268.300317558227,2020-04-30
4738.2759390336,2020-05-01
18477.955130007584,2020-05-04
-2509.809407906374,2020-05-05
15669.776991599472,2020-05-06
9490.842618912691,2020-05-07
2711.357357357163,2020-05-08
-22913.99640102568,2020-05-11
-21404.164730319986,2020-05-12
24650.600378705887,2020-05-13
1033.0963030776475,2020-05-14
31297.407188568264,2020-05-15
-13423.991825298406,2020-05-18
14283.344078435563,2020-05-19
-6348.616620646557,2020-05-20
7306.24001318682,2020-05-21
23186.119358129567,2020-05-22
14691.499869075837,2020-05-26
1278.0214469013736,2020-05-27
11629.740860167425,2020-05-28
9105.89196711732,2020-05-29
7324.438289256999,2020-06-01
14613.946683497401,2020-06-02
4273.9414393063635,2020-06-03
35743.64711834327,2020-06-04
32159.99783153925,2020-06-05
-19270.826359457104,2020-06-08
-21659.519184433855,2020-06-09
-102221.00612952793,2020-06-10
30383.789221736835,2020-06-11
11619.835801137844,2020-06-12
21320.33327436261,2020-06-15
-9136.891207173234,2020-06-16
-1772.000304598827,2020-06-17
-11388.805130695459,2020-06-18
5821.395242771134,2020-06-19
1580.6587206020486,2020-06-22
-40807.444493516814,2020-06-23
10560.064552710624,2020-06-24
-26340.67431069957,2020-06-25
42407.5846678447,2020-06-26
3691.436804814497,2020-06-29
3108.009827829199,2020-06-30
4713.883037048392,2020-07-01
