date,ADM,AIG,AVB,BA,BIO,BLK,CAG,CPB,DHI,DLTR,EMN,FDX,GWW,HES,HIG,HON,ILMN,INTU,IRM,KIM,KLAC,LHX,LOW,LRCX,LUMN,LUV,MAA,MAR,MCK,MDLZ,MET,MS,MSFT,MTB,MTD,NEM,NVDA,POOL,PPG,RJF,SYY,UNH,VNO,VRSN,WBA,WEC,WHR,WM,WST,ZBH
2019-01-03,18,58,59,0,34,48,0,48,0,-100,0,-88,-95,66,-13,-74,100,10,11,0,34,0,-54,20,100,100,0,0,20,0,100,16,20,-100,-100,-32,100,98,98,0,100,-67,0,8,0,-1,0,100,16,59
2019-01-04,-18,-7,-20,0,100,-54,100,100,1,1,0,92,-76,0,-23,0,-100,-81,100,0,100,100,0,0,-64,0,0,0,-16,0,100,0,-20,0,16,-82,-100,100,92,100,-100,0,100,0,0,-27,0,100,-16,-59
2019-01-07,0,-17,-1,15,-33,-46,53,52,100,-47,46,26,54,-72,-64,0,0,-69,100,77,-32,-28,100,100,-92,-100,0,0,100,0,82,-16,0,-100,-17,100,100,1,-37,-100,2,-65,100,100,0,-71,47,82,0,0
2019-01-08,60,-30,-38,-15,-51,47,62,1,100,-100,-12,-51,-100,-65,71,0,100,55,49,-77,100,91,98,5,-12,100,0,63,-76,0,-28,100,0,0,-68,-20,0,-58,100,100,-100,-68,100,70,100,-100,100,-13,0,0
2019-01-09,83,-4,57,100,-12,-100,68,1,-42,-100,66,-67,-74,0,19,100,-100,-100,14,0,-10,36,40,-69,-83,49,41,-17,51,0,-100,34,2,100,48,-80,32,100,-100,28,-60,5,-47,-37,-75,36,-62,-11,0,0
2019-01-10,-66,0,100,0,-64,-6,4,100,-80,100,-89,0,0,0,-24,100,0,100,100,0,-44,-38,-100,-27,100,-11,100,0,-12,0,-100,-100,-2,40,-49,0,0,0,89,100,0,100,100,0,-25,-37,0,100,0,0
2019-01-11,93,0,-96,-46,-9,-58,-79,-100,77,0,100,0,-8,0,1,0,0,100,0,0,-29,0,-93,0,-92,-100,-100,14,-38,100,-28,-1,0,100,100,0,-100,0,95,-100,0,-19,-100,-85,71,0,-85,-32,0,100
2019-01-14,10,0,-4,-54,0,63,0,-43,-53,100,0,79,-71,0,0,-100,0,0,-66,0,-27,-100,0,100,1,-11,0,0,100,-100,-26,100,0,-82,17,95,-2,-100,-62,0,84,100,-100,-47,-42,0,0,-11,0,84
2019-01-15,100,0,100,0,0,-63,-8,0,-100,-100,96,-53,-43,100,100,1,0,90,-100,0,0,-61,-45,0,-26,0,-41,-56,-7,100,0,-35,0,0,-16,0,1,100,88,0,-100,-65,99,0,0,0,100,100,0,100
2019-01-16,-100,0,100,7,13,100,100,-1,-3,-50,-100,100,-100,-75,-100,-11,0,97,7,0,-78,42,94,-69,-100,28,100,-4,21,-100,100,100,93,31,-100,-95,-74,34,-100,-100,-74,-58,39,41,-29,80,-28,-53,0,-40
2019-01-17,81,0,-100,-7,-13,-100,0,72,0,-51,93,-89,-37,84,-67,-90,0,100,3,0,-14,-42,58,-60,-100,63,100,0,29,0,-65,100,-35,0,100,0,-100,100,0,-28,-100,100,0,-4,0,-80,-69,76,39,-17
2019-01-18,-13,0,66,8,100,0,100,-27,100,-47,-49,-37,-100,100,0,0,0,-80,-73,0,0,0,-100,0,-54,-100,0,0,0,0,100,-100,-58,0,100,7,-54,-100,-36,94,0,-53,-100,-46,0,100,-3,-8,95,0
2019-01-22,64,72,-100,100,3,0,54,-34,-83,-12,-65,0,-100,77,0,0,100,0,5,0,0,0,-52,0,-58,35,100,0,46,0,58,-7,0,48,-93,-7,0,76,-100,-94,100,-87,98,100,0,33,100,-8,46,-60
2019-01-23,-64,-17,100,-100,67,0,-10,-100,40,-39,100,0,18,-100,49,47,-50,100,12,0,0,25,69,88,29,16,-1,100,18,13,-97,100,0,-100,-20,97,0,100,-100,10,-100,-100,72,-58,51,-56,-100,100,-31,-100
2019-01-24,-28,-55,-29,-1,-46,100,-25,1,-12,0,100,0,0,-13,-49,0,-50,90,0,100,0,-25,-69,-4,-64,100,0,-58,0,-13,-96,-100,0,100,100,-65,100,-100,-27,-10,-100,-100,0,0,-51,2,0,0,-6,-67
2019-01-25,-90,78,100,-7,-100,100,-61,-58,62,0,-39,0,-29,-100,60,100,80,-100,100,-100,5,0,0,-20,-14,-66,9,-42,15,83,0,-66,0,-31,-100,-32,-60,33,26,0,-86,18,-100,15,100,-79,0,-8,56,100
2019-01-28,-18,-74,0,0,-24,-100,0,-13,100,0,94,0,-12,100,0,-26,7,-100,100,0,-5,0,0,100,0,-100,0,100,100,-73,0,100,0,-100,100,0,-40,0,-25,0,0,-10,0,0,100,0,0,0,0,1
