account_rewards,date
20566.63902862463,2020-10-02
-23656.140645771055,2020-10-05
27355.488833747804,2020-10-06
17731.017297826707,2020-10-07
8262.758747796994,2020-10-08
12060.653871639399,2020-10-09
-10508.395438856212,2020-10-12
-5519.714011032134,2020-10-13
10786.491352401907,2020-10-14
2222.1685604094528,2020-10-15
-16555.106917243917,2020-10-16
3237.9898935260717,2020-10-19
-6789.3446749344,2020-10-20
11883.085090988083,2020-10-21
5529.347578401677,2020-10-22
-34072.89887885284,2020-10-23
-21165.60966903693,2020-10-26
-43460.64128194237,2020-10-27
8448.842316329945,2020-10-28
-9087.79052377306,2020-10-29
26133.690910339355,2020-10-30
38242.366287231445,2020-11-02
27518.468111038208,2020-11-03
30423.087642669678,2020-11-04
-6249.326780319214,2020-11-05
80881.9889717102,2020-11-06
-1359.2879806039855,2020-11-09
-1.5458564755972475,2020-11-10
-5758.243019676302,2020-11-11
14689.933825301938,2020-11-12
21850.235852623126,2020-11-13
-7874.857123123016,2020-11-16
-14847.45347424713,2020-11-17
171.75093460083008,2020-11-18
-13247.930477142334,2020-11-19
25602.8162651062,2020-11-20
17651.053829193115,2020-11-23
-3375.865222930908,2020-11-24
4895.9662437438965,2020-11-25
-11377.852603912354,2020-11-27
14206.065734863281,2020-11-30
17391.275909423828,2020-12-01
13441.19515991211,2020-12-02
18907.523136138916,2020-12-03
1875.3488006591797,2020-12-04
1803.8263244628906,2020-12-07
-21387.031829833984,2020-12-08
-5314.470027923584,2020-12-09
-7635.759674072266,2020-12-10
-7809.365505218506,2020-12-11
14877.6545753479,2020-12-14
-2020.2416343688965,2020-12-15
5798.214050292969,2020-12-16
-16148.14094543457,2020-12-17
-5705.876056671143,2020-12-18
-6382.557704925537,2020-12-21
-3543.3477935791016,2020-12-22
5547.561931610107,2020-12-23
-428.7511405944824,2020-12-24
-3323.6201362609863,2020-12-28
6504.214435577393,2020-12-29
-282.43624114990234,2020-12-30
