account_rewards,date
-24381.820863216417,2020-07-06
8791.802652427694,2020-07-07
-22214.649013331393,2020-07-08
16859.439900965197,2020-07-09
812.4925666600466,2020-07-10
24737.247890236787,2020-07-13
15222.064446836477,2020-07-14
-11516.98610228533,2020-07-15
-5964.412741744891,2020-07-16
-3733.581971446052,2020-07-17
10023.864780160831,2020-07-20
10214.33271517558,2020-07-21
-14930.60657622898,2020-07-22
-10479.165117845638,2020-07-23
-5943.82735346118,2020-07-24
-2.555171901592985,2020-07-27
8303.447979761986,2020-07-28
-11232.480897641275,2020-07-29
-10092.472094120923,2020-07-30
14934.346632505534,2020-07-31
5218.3281289271545,2020-08-03
25583.558732785285,2020-08-04
-2601.918223696761,2020-08-05
8380.387211406836,2020-08-06
19518.490704135736,2020-08-07
-5642.133440315258,2020-08-10
9555.841008432442,2020-08-11
-7047.272786149057,2020-08-12
10147.950056361267,2020-08-13
-8202.203667953378,2020-08-14
-8677.161508209305,2020-08-17
-3534.551419719821,2020-08-18
-4541.408345134696,2020-08-19
-635.891216613818,2020-08-20
19496.344605591847,2020-08-21
2269.700774336932,2020-08-24
-4069.5384874078445,2020-08-25
-5707.037240694044,2020-08-26
2985.0285873280372,2020-08-27
-4277.748167638667,2020-08-28
-2385.438938339241,2020-08-31
22326.433417287655,2020-09-01
-38287.49626600626,2020-09-02
-11642.516646467382,2020-09-03
-27616.420253688702,2020-09-04
21463.295582052087,2020-09-08
-16959.62702856236,2020-09-09
2623.4928436020855,2020-09-10
20186.16230128659,2020-09-11
-4289.313813611865,2020-09-14
2077.5354608288035,2020-09-15
-4308.657567763235,2020-09-16
-5638.040955129778,2020-09-17
-25426.25806848891,2020-09-18
-3647.858885343652,2020-09-21
-18281.958078195574,2020-09-22
-11858.25644994923,2020-09-23
32502.070178722264,2020-09-24
25842.556042085867,2020-09-25
-7493.660227728076,2020-09-28
15348.7216074334,2020-09-29
9143.847895136802,2020-09-30
