account_rewards,date
-5580.797812976874,2018-10-02
-9966.444054206833,2018-10-03
-6639.04322799691,2018-10-04
-2088.4746675279457,2018-10-05
-8742.310904070036,2018-10-08
-30961.049552204087,2018-10-09
-22633.628376016626,2018-10-10
12681.9416868306,2018-10-11
-3218.1802399473963,2018-10-12
19457.649509827606,2018-10-15
-5321.7186886710115,2018-10-16
-14725.301235302002,2018-10-17
-4018.0612317867344,2018-10-18
-7675.741153451847,2018-10-19
-8202.0405407066,2018-10-22
-26538.236411459045,2018-10-23
18790.63976056676,2018-10-24
-984.0398459977005,2018-10-25
-1042.5835155411623,2018-10-26
6257.06386242283,2018-10-29
1584.6213618086185,2018-10-30
7190.429826745647,2018-10-31
1166.4003959979163,2018-11-01
-647.7150135766715,2018-11-02
-313.19430762086995,2018-11-05
6924.983608808718,2018-11-06
-1341.0652437759563,2018-11-07
-4616.136745872442,2018-11-08
-11167.182598219835,2018-11-09
196.60168665309902,2018-11-12
-3079.9777253492502,2018-11-13
8662.145706190146,2018-11-14
9772.262004411663,2018-11-15
-16688.230385755538,2018-11-16
-15025.80312219134,2018-11-19
7353.98536973563,2018-11-20
-3290.6513988208026,2018-11-21
16448.302907070145,2018-11-23
-3525.7474819765193,2018-11-26
23566.284087513923,2018-11-27
4316.22908345412,2018-11-28
8196.059157110285,2018-11-29
10410.44808284752,2018-11-30
-38211.748760589515,2018-12-03
-7837.893430339871,2018-12-04
-29037.324755165027,2018-12-06
-3993.775601387024,2018-12-07
1522.8141410578974,2018-12-10
8552.690188167617,2018-12-11
-6519.999807826942,2018-12-12
-15554.433793918695,2018-12-13
-12576.48544487753,2018-12-14
-2825.530212708516,2018-12-17
-20127.458307145047,2018-12-18
-14482.90683091362,2018-12-19
-14160.857106689364,2018-12-20
-19034.935526167857,2018-12-21
38425.41326656146,2018-12-24
10014.548963298788,2018-12-26
-2472.419187032734,2018-12-27
8072.500430220622,2018-12-28
-13081.350614349358,2018-12-31
