,account_value,date,daily_return
269,1088847.6426464743,2019-04-30,0.0097054375212091
270,1081494.8692490286,2019-05-01,-0.0067528027884365
271,1085515.6629978842,2019-05-02,0.0037178112103735
272,1092722.9793221182,2019-05-03,0.0066395323162169
273,1088768.3269974417,2019-05-06,-0.0036190804069388
274,1068486.4928051657,2019-05-07,-0.0186282367785334
275,1070208.6305233664,2019-05-08,0.0016117543177167
276,1068034.9461704916,2019-05-09,-0.0020310846790796
277,1073296.0211979577,2019-05-10,0.0049259390306748
278,1046988.1945397088,2019-05-13,-0.0245112495887996
279,1055233.0626331992,2019-05-14,0.007874843418951
280,1062205.7378517813,2019-05-15,0.0066077110976627
281,1071494.3897740073,2019-05-16,0.0087446824953247
282,1068689.51054923,2019-05-17,-0.0026177264683288
283,1060565.105502767,2019-05-20,-0.0076022127720591
284,1071062.985202474,2019-05-21,0.0098983830839225
285,1060964.278712911,2019-05-22,-0.0094286765849292
286,1048809.7719494528,2019-05-23,-0.0114560942411777
287,1061378.4372288412,2019-05-24,0.011983741585499
288,1048931.3557964987,2019-05-28,-0.0117272793527261
289,1040286.9531456656,2019-05-29,-0.0082411519143394
290,1041470.1809727378,2019-05-30,0.0011374052356363
291,1033084.2406861016,2019-05-31,-0.0080520214979211
292,1033049.2487713523,2019-06-03,-3.3871308235178255e-05
293,1057613.7203404135,2019-06-04,0.0237786064878093
294,1075626.366214437,2019-06-05,0.0170314033636267
295,1082609.550300283,2019-06-06,0.00649220240893
296,1091063.8675858206,2019-06-07,0.0078092025727953
297,1093604.2977101034,2019-06-10,0.0023283972641345
298,1084842.4208122916,2019-06-11,-0.0080119261749047
299,1083024.069957418,2019-06-12,-0.0016761428388024
300,1087945.8129669852,2019-06-13,0.0045444447137363
301,1082820.6189324087,2019-06-14,-0.0047108909042071
302,1083084.1802536673,2019-06-17,0.0002434025697797
303,1096157.011336965,2019-06-18,0.0120700046419623
304,1102297.670354528,2019-06-19,0.0056019885418359
305,1114872.888322515,2019-06-20,0.0114081870135338
306,1105158.864009542,2019-06-21,-0.0087131227377761
307,1102469.404369039,2019-06-24,-0.0024335502596843
308,1090189.072431249,2019-06-25,-0.011138932190883
309,1086541.357909841,2019-06-26,-0.0033459466927816
310,1090806.858079595,2019-06-27,0.003925759602892
311,1100334.187686605,2019-06-28,0.0087342039852802
312,1099464.3800160117,2019-07-01,-0.0007904940883659
313,1104305.9257370655,2019-07-02,0.0044035494091982
314,1113472.132009191,2019-07-03,0.0083004229702083
315,1114374.6230408377,2019-07-05,
316,1113417.083916206,2019-07-08,-0.0008592614232536
317,1115863.7931573596,2019-07-09,0.0021974777255509
318,1117450.088629644,2019-07-10,0.0014215852167727
319,1121521.9876482836,2019-07-11,0.0036439202610232
320,1123053.963463679,2019-07-12,0.001365979296231
321,1118475.4519536672,2019-07-15,-0.0040768401688293
322,1117770.9494305083,2019-07-16,-0.000629877501494
323,1114584.6108426691,2019-07-17,-0.0028506185363491
